R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
101,86,67,128,188,163,246,247,189,230,172,39,191,77,40
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
94,65,47,252,235,182,120,192,168,240,120,24,240,168,48
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
69,38,50,145,32,77,228,132,74,232,191,86,226,247,206
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
163,169,72,237,185,46,248,89,49,206,24,54,0,153,137
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
96,120,72,120,144,72,192,216,96,240,240,216,96,72,72
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
62,65,71,255,254,223,223,186,105,90,46,46,42,44,49
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
252,53,76,41,34,31,19,116,125,10,191,188,252,247,197
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
28,33,48,2,143,118,179,224,153,255,234,173,209,67,52
237,235,230,214,225,199,148,199,182,64,59,51,211,100,59
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
253,241,204,198,214,184,152,127,105,227,173,64,252,208,54
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
58,17,28,87,73,81,131,152,142,188,222,165,230,249,188
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
94,57,41,205,140,82,183,209,163,222,232,190,252,247,211
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
56,47,50,255,234,242,252,217,229,251,197,216,241,57,109
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
94,159,163,220,209,180,250,184,127,248,126,123,176,85,116
193,179,152,96,89,81,251,238,194,97,166,171,172,206,192
141,204,173,152,136,100,254,166,162,249,214,172,255,233,175
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
65,61,61,4,0,4,200,255,0,250,2,60,75,0,15
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
157,201,172,255,254,199,245,98,24,255,157,46,145,145,103
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
167,2,103,241,12,73,251,107,65,246,216,107,51,145,148
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
255,237,191,247,128,60,245,72,40,46,13,35,248,228,193
12,165,176,78,63,48,254,254,235,248,244,228,165,179,170
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
237,246,238,209,192,137,179,32,77,65,46,40,21,17,1
157,126,121,204,172,149,154,148,124,116,139,131,91,117,108
252,254,245,233,255,225,205,207,183,214,230,195,250,251,227
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
65,61,61,4,0,4,200,255,0,250,2,60,75,0,15
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
157,201,172,255,254,199,245,98,24,255,157,46,145,145,103
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
65,61,61,4,0,4,200,255,0,250,2,60,75,0,15
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
237,246,238,209,192,137,179,32,77,65,46,40,21,17,1
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
65,61,61,4,0,4,200,255,0,250,2,60,75,0,15
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
96,120,72,120,144,72,192,216,96,240,240,216,96,72,72
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
58,17,28,87,73,81,131,152,142,188,222,165,230,249,188
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
62,65,71,255,254,223,223,186,105,90,46,46,42,44,49
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
62,65,71,255,254,223,223,186,105,90,46,46,42,44,49
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
94,159,163,220,209,180,250,184,127,248,126,123,176,85,116
237,246,238,209,192,137,179,32,77,65,46,40,21,17,1
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
96,120,72,120,144,72,192,216,96,240,240,216,96,72,72
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
101,86,67,128,188,163,246,247,189,230,172,39,191,77,40
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
237,235,230,214,225,199,148,199,182,64,59,51,211,100,59
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
62,65,71,255,254,223,223,186,105,90,46,46,42,44,49
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
101,86,67,128,188,163,246,247,189,230,172,39,191,77,40
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
252,254,245,233,255,225,205,207,183,214,230,195,250,251,227
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
252,254,245,233,255,225,205,207,183,214,230,195,250,251,227
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
94,57,41,205,140,82,183,209,163,222,232,190,252,247,211
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
141,204,173,152,136,100,254,166,162,249,214,172,255,233,175
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
252,53,76,41,34,31,19,116,125,10,191,188,252,247,197
237,235,230,214,225,199,148,199,182,64,59,51,211,100,59
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
167,2,103,241,12,73,251,107,65,246,216,107,51,145,148
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
157,126,121,204,172,149,154,148,124,116,139,131,91,117,108
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
56,47,50,255,234,242,252,217,229,251,197,216,241,57,109
94,57,41,205,140,82,183,209,163,222,232,190,252,247,211
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
252,254,245,233,255,225,205,207,183,214,230,195,250,251,227
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
141,204,173,152,136,100,254,166,162,249,214,172,255,233,175
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
28,33,48,2,143,118,179,224,153,255,234,173,209,67,52
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
167,2,103,241,12,73,251,107,65,246,216,107,51,145,148
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
94,65,47,252,235,182,120,192,168,240,120,24,240,168,48
94,57,41,205,140,82,183,209,163,222,232,190,252,247,211
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
255,251,183,166,246,175,102,182,171,91,124,141,79,41,88
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
237,235,230,214,225,199,148,199,182,64,59,51,211,100,59
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
65,61,61,4,0,4,200,255,0,250,2,60,75,0,15
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
252,254,245,233,255,225,205,207,183,214,230,195,250,251,227
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
157,126,121,204,172,149,154,148,124,116,139,131,91,117,108
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
