R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
101,86,67,128,188,163,246,247,189,230,172,39,191,77,40
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
58,17,28,87,73,81,131,152,142,188,222,165,230,249,188
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
167,2,103,241,12,73,251,107,65,246,216,107,51,145,148
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
56,47,50,255,234,242,252,217,229,251,197,216,241,57,109
163,169,72,237,185,46,248,89,49,206,24,54,0,153,137
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
167,2,103,241,12,73,251,107,65,246,216,107,51,145,148
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
253,241,204,198,214,184,152,127,105,227,173,64,252,208,54
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
69,38,50,145,32,77,228,132,74,232,191,86,226,247,206
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
56,47,50,255,234,242,252,217,229,251,197,216,241,57,109
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
94,159,163,220,209,180,250,184,127,248,126,123,176,85,116
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
94,65,47,252,235,182,120,192,168,240,120,24,240,168,48
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
255,237,191,247,128,60,245,72,40,46,13,35,248,228,193
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
255,237,191,247,128,60,245,72,40,46,13,35,248,228,193
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
94,159,163,220,209,180,250,184,127,248,126,123,176,85,116
62,65,71,255,254,223,223,186,105,90,46,46,42,44,49
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
167,197,189,229,221,203,235,123,89,207,70,71,82,70,86
149,31,43,245,244,215,224,223,177,165,163,108,83,82,51
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
255,0,60,255,138,0,250,190,40,136,193,0,0,193,118
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
48,38,28,64,56,49,54,84,79,31,95,97,11,129,133
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
243,138,138,85,68,61,160,202,181,205,233,202,241,237,208
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
255,237,191,247,128,60,245,72,40,46,13,35,248,228,193
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
252,53,76,41,34,31,19,116,125,10,191,188,252,247,197
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
168,230,206,220,237,194,255,211,181,255,170,166,255,140,148
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
239,243,205,178,213,186,97,173,160,36,143,141,96,80,99
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
69,38,50,145,32,77,228,132,74,232,191,86,226,247,206
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
171,82,107,188,162,151,197,206,174,240,226,164,244,235,195
94,159,163,220,209,180,250,184,127,248,126,123,176,85,116
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
157,201,172,255,254,199,245,98,24,255,157,46,145,145,103
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
218,214,202,27,176,206,79,134,153,106,94,114,86,52,68
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
248,237,209,216,138,138,71,72,67,157,157,147,197,207,198
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
193,179,152,96,89,81,251,238,194,97,166,171,172,206,192
4,109,139,48,146,146,47,184,172,147,164,42,236,190,19
128,88,65,220,247,243,255,252,221,255,216,216,245,162,162
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
253,241,204,198,214,184,152,127,105,227,173,64,252,208,54
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
94,65,47,252,235,182,120,192,168,240,120,24,240,168,48
255,237,191,247,128,60,245,72,40,46,13,35,248,228,193
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
141,204,173,152,136,100,254,166,162,249,214,172,255,233,175
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
237,246,238,209,192,137,179,32,77,65,46,40,21,17,1
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
157,201,172,255,254,199,245,98,24,255,157,46,145,145,103
56,47,50,255,234,242,252,217,229,251,197,216,241,57,109
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
237,235,230,214,225,199,148,199,182,64,59,51,211,100,59
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
253,241,204,198,214,184,152,127,105,227,173,64,252,208,54
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
204,12,57,230,120,30,200,207,2,248,252,193,22,147,167
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
237,246,238,209,192,137,179,32,77,65,46,40,21,17,1
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
227,223,186,200,214,191,147,204,198,108,189,181,26,31,30
78,77,74,53,52,50,148,186,101,39,144,176,43,78,114
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
185,211,176,129,189,164,178,135,116,248,143,121,246,170,147
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
77,59,59,222,98,98,255,184,140,255,208,179,245,224,211
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
0,0,0,159,17,27,177,22,35,41,44,55,204,204,204
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
246,246,246,232,232,232,51,51,51,153,1,0,185,5,4
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
81,81,81,255,255,255,0,180,255,238,238,238,255,255,255
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
115,200,169,222,225,182,225,184,102,189,85,50,55,59,68
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
157,201,172,255,254,199,245,98,24,255,157,46,145,145,103
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
27,50,95,156,196,228,233,242,249,58,137,201,242,108,79
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
35,15,43,242,29,65,235,235,188,188,227,197,130,179,174
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
45,45,41,33,90,109,60,162,162,146,199,163,223,236,230
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
58,17,28,87,73,81,131,152,142,188,222,165,230,249,188
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
78,57,93,130,112,133,142,190,148,204,252,142,220,91,62
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
207,255,221,180,222,193,92,88,99,168,81,99,255,31,76
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
58,17,28,87,73,81,131,152,142,188,222,165,230,249,188
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
253,241,204,198,214,184,152,127,105,227,173,64,252,208,54
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
168,167,167,204,82,122,232,23,93,71,71,71,54,54,54
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
92,50,62,168,39,67,225,94,50,192,210,62,229,240,76
94,57,41,205,140,82,183,209,163,222,232,190,252,247,211
209,49,61,229,98,92,249,191,118,142,178,197,97,83,117
255,239,211,255,254,228,208,236,234,159,214,210,139,122,94
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
156,221,200,191,216,173,221,217,171,247,175,99,99,61,46
252,53,76,41,34,31,19,116,125,10,191,188,252,247,197
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
170,255,0,255,170,0,255,0,170,170,0,255,0,170,255
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
96,120,72,120,144,72,192,216,96,240,240,216,96,72,72
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
28,1,19,107,1,3,163,0,6,194,26,1,240,60,2
161,219,178,254,229,173,250,202,102,247,165,65,244,93,76
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
